slug,title,category,editorial_status,A,B,C,D,E,F,G,H,I,J,K,L,overall,tier,reader_test,recognition_evidence,unique_insight_evidence,generic_dictionary_test,generic_dictionary_note,nearest_neighbor_slug,neighbor_similarity,collision,independent_intent,primary_reason,secondary_reasons,trust_risks,word_count,reflection_question_count,related_dream_count,related_reason_count
snake,Snake,Animals and creatures,,3,3,2,2,0,3,2,3,3,2,3,2,28,P3,Passes,"White snake May create feelings of peace, curiosity, caution, or quiet respect rather than fear.","Watching a snake without fear may symbolize growing emotional maturity, increasing self-awareness, or becoming more comfortable with parts of yourself that once felt unfamiliar or intimidating.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",being-chased-by-a-snake,0.6927,true,"Potentially defensible if this distinction remains central: Watching a snake without fear may symbolize growing emotional maturity, increasing self-awareness, or becoming more comfortable with parts of yourself that once felt unfamiliar or intimidating.",Generic interpretation,Excessive repetition; Likely duplicate intent,,2460,4,9,9
chased,Being Chased,Anxiety and fear,,2,3,2,2,1,2,2,3,3,2,3,2,27,P2,Passes,"Being chased by police May reflect guilt, fear of consequences, pressure to meet expectations, or anxiety about being judged.","Being chased by a lion Often reflects intimidation, pressure from authority, overwhelming responsibilities, or fear of confronting powerful situations.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",being-chased-by-a-snake,0.5731,true,"Potentially defensible if this distinction remains central: Being chased by a lion Often reflects intimidation, pressure from authority, overwhelming responsibilities, or fear of confronting powerful situations.",Generic interpretation,Excessive repetition; Likely duplicate intent,,2127,4,10,10
pregnant,Being Pregnant,Family,,3,3,2,2,1,3,2,3,3,2,3,3,30,P3,Passes,"Being afraid of being pregnant May reflect fear of responsibility, uncertainty about the future, self-doubt, or anxiety surrounding major life changes.",Why men can dream about being pregnant Pregnancy dreams are symbolic rather than biological.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",pregnant-with-twins,0.4781,true,Potentially defensible if this distinction remains central: Why men can dream about being pregnant Pregnancy dreams are symbolic rather than biological.,Generic interpretation,Excessive repetition,,1997,4,10,10
ex-partner,Ex-Partner,Relationships,,3,2,2,1,2,3,2,3,3,2,3,3,29,P3,Passes,"You hide the ex from a current partner Secrecy can involve guilt, comparison, private memory, or fear that the past still influences the present; it does not automatically imply infidelity.","An ex-partner can function as an emotional timestamp rather than a romantic instruction: the dream can compare a former stage of identity, an old expectation about intimacy, or a learned pattern with your life now.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",marrying-an-ex,0.4546,false,The closest neighbor does not currently erase this page's independent intent.,Poor conditional scenarios,,,1031,4,4,4
house-burning,House burning,Houses and places,,3,3,3,2,1,2,2,3,3,0,3,2,27,P2,Passes,"being trapped inside the burning house Often reflects emotional overwhelm, helplessness, anxiety, emotional pressure, or feeling emotionally consumed by situations you cannot easily escape.","Why house burning dreams repeat Recurring house burning dreams often reflect ongoing instability, unresolved stress, emotional pressure, fear surrounding change, or internal situations that continue feeling unsafe or overwhelming beneath the surface.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",house-on-fire,0.5775,true,"Potentially defensible if this distinction remains central: Why house burning dreams repeat Recurring house burning dreams often reflect ongoing instability, unresolved stress, emotional pressure, fear surrounding change, or internal situations that continue feeling unsafe or overwhelming beneath the surface.",Weak reflection questions,,,1459,0,6,6
flying,Flying,Transformation and life transitions,,3,3,2,2,1,3,3,3,3,2,3,2,30,P3,Passes,"Flying like a bird Often reflects complete emotional freedom, joy, peace, and living without unnecessary limitations.","This is why flying dreams frequently appear after healing from heartbreak, achieving long-term goals, recovering from anxiety, or finally moving beyond situations that once felt impossible to escape.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",flying-then-falling,0.4973,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Excessive repetition; Likely duplicate intent,,2772,4,9,9
sheep,Sheep,Spiritual dreams,,3,3,2,1,3,2,2,3,2,0,3,2,26,P2,Passes,"Dreams about sheep often reflect peace, innocence, trust, gentleness, spiritual guidance, belonging, vulnerability, conformity, or the desire for safety, comfort, and stability in your life.","Why sheep often appear during stressful periods When life feels chaotic, the subconscious may use sheep to symbolize safety, simplicity, stability, and the desire for emotional peace.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",being-lost,0.1203,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1073,0,4,4
bright-light-in-the-sky,Bright Light in the Sky,Spiritual dreams,,3,3,3,2,1,3,2,3,2,2,2,3,29,P3,Passes,"A bright light in the sky often reflects awareness, clarity, hope, guidance, realization, or the feeling that something important is becoming visible after a period of uncertainty.","an extremely bright light Awe, fear, fascination, or emotional intensity may dominate the experience.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",light-surrounding-you,0.5624,true,"Potentially defensible if this distinction remains central: an extremely bright light Awe, fear, fascination, or emotional intensity may dominate the experience.",Generic interpretation,Excessive repetition; Likely duplicate intent,,894,5,2,2
full-moon,Full Moon,Transformation and life transitions,,3,3,2,1,2,2,2,3,2,2,3,2,27,P2,Passes,"Completion Someone finishing a long project might dream of watching a calm full moon rise, reflecting a sense of culmination.","A full moon may be experienced as beautiful, exposing, eerie, or ordinary.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",no-moon-or-sun-in-the-sky,0.426,false,The closest neighbor does not currently erase this page's independent intent.,Poor conditional scenarios,,,807,5,3,3
no-moon-or-sun-in-the-sky,No Moon or Sun in the Sky,Spiritual dreams,,3,3,3,1,2,2,2,3,2,0,3,2,26,P2,Passes,The missing sun and moon may symbolize the absence of emotional anchors that once provided comfort.,Why this dream feels so unsettling The sun and moon are symbols humans instinctively associate with orientation and stability.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",full-moon,0.426,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,1137,0,4,4
